date name_first_line
2016-01-26T22:03:14Z "AMQP-559: @RabbitListener Test Harness"
2016-01-25T20:15:58Z "AMQP-564: Fix Confirm Callback Nacks"
2016-01-25T17:24:48Z "AMQP-535: PublisherCallbackChannel Improvements"
2016-01-25T16:37:01Z "AMQP-563: Support Explicit Temporary Reply Queue"
2016-01-20T23:21:17Z "AMQP-562: Check for Queue Declaration Mismatches"
2016-01-19T16:19:14Z "AMQP-537: RabbitTemplate: receive() with Timeout"
2016-01-15T23:45:09Z "AMPQ-554: Namespace Additions"
2016-01-15T17:25:01Z "AMQP-561: Log Appender Exchange Declaration"
2016-01-13T15:03:09Z "Move 3.6 Client Test to Separate Class"
2016-01-08T15:50:11Z "AMQP-560: Add BrokerRunning to Test; Doc Polish"
2016-01-07T21:12:48Z "AMQP-560: Idle Container Events"
2016-01-05T17:12:55Z "Reference Copyright -> 2016"
2015-12-29T18:17:39Z "Revert SF-4.2.4 API usage"
2015-12-28T22:36:27Z "AMQP-558: amqp-client 3.6.0"
2015-12-24T17:04:06Z "SO34454159: Test Showing Proxying a RabbitListener"
2015-12-23T17:22:11Z spring-schemas
2015-12-23T17:21:06Z "Master is Now 1.6.x"
2015-12-23T16:33:14Z "AMQP-558: amqp-client 3.5.7 + 3.6.0 Compatibility"
2015-12-18T17:13:13Z "AMQP-556: NPE in SMLC After Shutdown Timeout"
2015-12-12T01:41:34Z "AMQP-555: AnonymousQueue Naming Strategy"
2015-12-11T19:48:40Z "Fix some race conditions around mocks"
2015-12-05T16:43:55Z "Code Polishing (Sonar)"
2015-12-03T22:14:03Z "AMQP-553: Allow CF ThreadFactory Injection"
2015-12-03T21:48:25Z "AMQP-551: Use doReturn() for Spied Loggers"
2015-12-01T19:36:33Z "AMQP-552: Support @RabbitListener on Interfaces"
2015-12-01T19:05:21Z "Test Polishing"
2015-12-01T18:51:34Z "@EnableRabbitIntegrationTests Improvements"
2015-11-30T19:58:15Z "AMQP-551: Fix Mockito Usage in Failover Tests"
2015-11-22T15:27:20Z "Fix Doc Typos"
2015-11-19T18:38:35Z "Doc Fix and Polishing"
2015-11-18T15:51:08Z "AMQP-546: Add SmartLifecycle to Caching Conn Fact"
2015-11-13T19:31:47Z "[artifactory-release] Next development version"
2015-11-13T19:31:42Z "[artifactory-release] Release version 1.5.2.RELEASE"
2015-11-13T19:10:28Z "Update Spring and RabbitMQ Client Versions"
2015-11-13T18:40:51Z "AMQP-479: XA compatibility for RabbitResourceSync"
2015-11-10T01:12:35Z "AMQP-541: Fix @RabbitListener Proxy Param Match"
2015-11-02T17:50:33Z "AMQP-544: API to Obtain @RabbitListener ids"
2015-11-02T16:12:51Z "@RabbitListener Doc Improvement"
2015-10-19T19:30:01Z "Fix x-expires Test Case"
2015-10-19T17:14:46Z "AMQP-542: @SendTo with Class Level @RabbitListener"
2015-10-09T21:39:31Z "AMQP-540: Fix @RabbitHandler on Proxy"
2015-10-02T15:54:21Z "[artifactory-release] Next development version"
2015-10-02T15:54:17Z "[artifactory-release] Release version 1.5.1.RELEASE"
2015-10-02T15:37:59Z "Update RabbitMQ Client to 3.5.5"
2015-09-11T20:03:28Z "AMQP-532: Fix Pub.Conf. Nacks on close()"
2015-09-09T16:56:48Z "[artifactory-release] Next development version"
2015-09-09T16:56:43Z "[artifactory-release] Release version 1.5.0.RELEASE"
2015-09-09T16:46:17Z "Build: Make proper exclude for IO compatibility"
2015-09-09T15:46:39Z "AMQP-532: Pub.Conf. Concurrency"
2015-09-08T20:05:12Z "AMQP-533: @RabbitListener SpEL Multiple Queues"
2015-09-08T15:37:08Z "AMQP-534: Fix Package Tangle"
2015-09-04T15:46:16Z "AMQP-525: Fix Single & in if Statement"
2015-09-03T18:43:25Z "AMQP-525: Blocking receiveAndReply()"
2015-09-02T00:03:11Z "Remove redundant Parsers field and test around it"
2015-09-01T23:41:45Z "AMQP-528: `group` attribute on Listener Container"
2015-09-01T21:14:45Z "AMQP-530: Log4j 1.x Deprecation"
2015-08-31T19:38:03Z "AMQP-524: Publisher CF Extract Interface"
2015-08-31T12:44:53Z "AMQP-527: Address: `equals()` and `hashCode()`"
2015-08-13T23:01:10Z "[artifactory-release] Next development version"
2015-08-13T23:01:05Z "[artifactory-release] Release version 1.5.0.RC1"
2015-08-13T20:56:54Z "Update SF, rabbit amqp and http Client Versions"
2015-08-12T22:55:44Z "AMQP-521: LocalizedQueueConnectionFactory"
2015-08-12T20:37:22Z "AMQP-523: Fix Class Tangle"
2015-08-12T13:04:49Z "AMQP-522: Make RabbitAdmin Constants Public"
2015-08-10T20:32:29Z "AMQP-520: MessageListenerAdapter Method Map"
2015-08-08T19:36:36Z "AMQP-519: Shut Down Deferred Close Executor"
2015-08-07T17:27:27Z "AMQP-518: Remove <listener-container/> id Attrib."
2015-08-07T16:23:33Z "AMQP-517: Add resetConnection()"
2015-08-06T13:42:01Z "AMQP-516: Fix Auto-Declare Anonymous Queue"
2015-08-01T13:52:37Z "AMQP-515: More Sonar Fixes"
2015-07-31T17:15:29Z "AMQP-449: Verify Reply Container Configuration"
2015-07-29T16:05:15Z "AMQP-515: Eliminate new Sonar Critical Violations"
2015-07-23T22:01:25Z "AMQP-513: Update to Gradle 2.5"
2015-07-23T18:36:06Z "AMQP-512: Delete Test Queues; Close Connections"
2015-07-21T17:28:42Z "AMQP-511: Support SpEL in @SendTo"
2015-07-08T09:03:12Z "Use the latest version of the Spring IO Plugin"
2015-06-29T21:02:37Z "AMQP-507: Add AmqpMessageReturnedException"
2015-06-29T17:11:38Z "AMQP-499: Make WARN Log Configurable"
2015-06-29T16:28:14Z "AMQP-509: Add Consumer Failure Events"
2015-06-29T15:55:42Z "AMQP-508: Queue Declaration IllegalArgumentExcept."
2015-06-26T21:52:29Z "AMQP-506: Publisher Confirms Concurrency"
2015-06-25T13:12:06Z "AMQP-505: Add setUri() method to ConnectionFactory"
2015-06-24T19:38:38Z "AMQP-504: Update to RabbitMQ 3.5.3 Client"
2015-06-24T19:22:22Z "AMQP-503: Add Blocking Receive to RabbitTemplate"
2015-06-24T19:20:04Z "AMQP-497: Declare Collection<Declarable> elements"
2015-06-24T16:21:34Z "AMQP-499: Improve Channel Close Logging"
2015-06-19T18:04:07Z "AMQP-502: Fix Fanout @Binding Declaration"
2015-06-02T14:32:32Z "AMQP-501: Docs for ConsumerTagStrategy"
2015-05-29T18:20:49Z "AMQP-500: Configurable SSL Algo, No Properties"
2015-05-12T09:01:42Z "AMQP-498: Adjust Consumers With ChannelTransacted"
2015-05-11T18:11:30Z "AMQP-496: CCF: Do Not Connect After AC Close"
2015-05-07T15:47:36Z "[artifactory-release] Next development version"
2015-05-07T15:47:32Z "[artifactory-release] Release version 1.5.0.M1"
2015-05-07T14:26:40Z "What's New Documentation Polishing"
2015-05-07T13:58:28Z "AMQP-427: Add `BackOff` for Listener Container"
2015-05-07T11:34:41Z "AMQP-444: Fix Package Tangle"
2015-05-06T18:15:04Z "Reference Polishing"
2015-05-06T17:59:38Z "Fix Doc: What's New Header"
2015-05-06T15:17:41Z "AMQP-495: Remove spring-erlang"
2015-05-06T13:40:06Z "AMQP-481: Register `@RabbitListener` for `@Lazy`"
