date,summary
2011-04-05T07:19:19Z,Spring Redis should not require Jackson
2011-03-08T08:44:05Z,RedisAtomicLong to perform operation getAndIncrement
2011-04-13T09:20:32Z,JedisConnection may fail to select database
2010-12-15T02:12:39Z,HGETALL not supported in HashOperations interface
2011-03-17T17:02:08Z,HashOperations not being autowired
2011-03-16T16:13:32Z,"HashOperations delete, get, hasKey using Object instead of HK"
2011-04-05T05:42:23Z,Spring Data Redis depends on both Jedis and JRedis
2011-02-11T02:01:30Z,Deserialization is not null safe
2011-04-07T01:18:06Z,Thorough review of dependencies.
2011-04-13T01:15:22Z,ClassCastException when invoking RedisTemplate.keys()
2011-04-05T05:38:58Z,Missing source jars in Maven repository
2010-12-17T10:23:02Z,Connections obtained from pool are never returned
