date,name_first_line
2016-02-10T10:08:51Z,DATAREDIS-407 - Add zRangeByLex to ZSetOperations.
2016-02-09T14:40:38Z,DATAREDIS-315 - Remove timeout/password from RedisClusterConfiguration.
2016-02-09T14:40:38Z,DATAREDIS-315 - Support password protected Redis Cluster.
2016-02-09T14:40:33Z,DATAREDIS-315 - Support Redis 3.2 CLUSTER NODES output format.
2016-02-09T14:38:52Z,DATAREDIS-315 - Polishing.
2016-02-09T13:53:33Z,DATAREDIS-315 - Add initial support for redis cluster (jedis/lettuce).
2016-02-09T13:53:31Z,DATAREDIS-315 - Update Makefile to spin up cluster.
2016-02-09T13:53:28Z,DATAREDIS-315 - Bump driver lib versions (jedis/lettuce).
2016-02-04T18:36:09Z,DATAREDIS-419 - Remove Gradle build files. Activate Maven build.
2016-02-04T08:13:42Z,DATAREDIS-443 - Add Support for Spring 4.3 synchronized mode to RedisCache.
2016-02-03T10:17:07Z,DATAREDIS-405 - Deprecate support for jredis and srp.
2016-02-02T09:18:40Z,DATAREDIS-449 - Added code of conduct.
2016-01-29T19:09:21Z,DATAREDIS-419 - Move project build to Maven.
2016-01-28T06:59:32Z,DATAREDIS-448 - Fix DefaultSetOperations.intersectAndStore not returning command result.
2015-12-18T09:58:57Z,DATAREDIS-441 - Updated changelog.
2015-11-16T07:56:09Z,DATAREDIS-436 - Updated changelog.
2015-11-15T12:37:24Z,DATAREDIS-431 - Autoselect database configured in LettuceConnectionFactory.
2015-10-27T08:30:32Z,DATAREDIS-435 - Fix potential NPE in RedisTestProfileValueSource.
2015-10-16T09:31:36Z,DATAREDIS-417 - Fix ScanCursor throwing NoSuchElementException for empty scan result.
2015-10-16T09:31:28Z,DATAREDIS-417 - Add failing tests for ScanCursor throwing NoSuchElementException.
2015-10-14T12:01:26Z,DATAREDIS-434 - Updated changelog.
2015-09-01T10:11:03Z,DATAREDIS-429 - After release cleanups.
2015-09-01T09:32:19Z,DATAREDIS-429 - Prepare next development iteration.
2015-09-01T09:32:17Z,DATAREDIS-429 - Release version 1.6.0.RELEASE (Gosling GA).
2015-09-01T07:44:22Z,DATAREDIS-429 - Prepare 1.6.0.RELEASE (Gosling GA).
2015-09-01T07:44:18Z,DATAREDIS-429 - Updated changelog.
2015-09-01T05:43:34Z,DATAREDIS-430 - Upgrade Jackson2 to 2.6.1
2015-09-01T05:43:24Z,DATAREDIS-424 - Update Reference Documentation.
2015-08-31T12:19:39Z,DATAREDIS-421 - Fix NPE when using HashMapper implementations.
2015-08-31T12:09:22Z,DATAREDIS-392 - Add Gerneric Jackson2 RedisSerializer.
2015-08-28T05:50:55Z,DATAREDIS-426 - Upgrade to lettuce 3.3.
2015-08-04T12:09:23Z,DATAREDIS-420 - After release cleanups.
2015-08-04T11:27:29Z,DATAREDIS-420 - Prepare next development iteration.
2015-08-04T11:27:26Z,DATAREDIS-420 - Release version 1.6.0.RC1 (Gosling RC1).
2015-08-04T11:02:49Z,DATAREDIS-420 - Prepare 1.6.0.RC1 (Gosling RC1).
2015-08-04T09:48:38Z,DATAREDIS-420 - Updated changelog.
2015-08-04T08:12:39Z,DATAREDIS-348 - Polishing.
2015-08-04T08:12:39Z,DATAREDIS-348 - Switch to mp911de/lettuce 3.0.
2015-07-28T14:44:01Z,DATAREDIS-418 - Updated changelog.
2015-07-28T12:18:26Z,DATAREDIS-414 - Serialization now occurs after pooled connection was released.
2015-07-28T11:42:10Z,DATAREDIS-416 - RedisCache.putIfAbsent(…) now returns null for first addition.
2015-07-22T12:39:30Z,"DATAREDIS-412 - Assert compatibility with Jedis 2.7.1, 2.7.2 and 2.7.3."
2015-07-09T17:10:13Z,DATAREDIS-401 - RedisCacheManager should operate on RedisOperations.
2015-07-08T11:03:45Z,DATAREDIS-413 - Use the latest version of the Spring IO Plugin
2015-07-01T08:03:13Z,DATAREDIS-408 - Updated changelog.
2015-07-01T05:49:54Z,DATAREDIS-409 - Updated changelog.
2015-06-30T12:29:45Z,DATAREDIS-410 - Updated changelog.
2015-06-16T07:38:54Z,DATAREDIS-402 - RedisCache should not expire known keys in case ttl of element is not set.
2015-06-02T13:56:37Z,DATAREDIS-403 - Fixed configuration of JavaDoc task.
2015-06-02T10:04:08Z,DATAREDIS-400 - After release cleanups.
2015-06-02T08:42:04Z,DATAREDIS-400 - Prepare next development iteration.
2015-06-02T08:42:02Z,DATAREDIS-400 - Release version 1.6.0.M1 (Gosling M1).
2015-06-02T06:54:51Z,DATAREDIS-400 - Prepare 1.6.0.M1 (Gosling M1).
2015-06-02T06:25:04Z,DATAREDIS-400 - Updated changelog.
2015-05-22T16:59:54Z,DATAREDIS-352 - Enhance range options for ZSET.
2015-05-22T13:16:08Z,DATAREDIS-352 - Enhance range options for ZSET.
2015-05-19T11:26:33Z,DATAREDIS-396 - Update Jedis driver to version 2.7.2.
2015-04-13T12:15:10Z,DATAREDIS-378 - Add support for ZRANGEBYLEX.
2015-04-13T11:48:22Z,DATAREDIS-393 - Upgrade to Spring Version 4.1.6.
2015-04-13T10:58:54Z,DATAREDIS-332 - @Transactional operation should use the same connection.
2015-03-30T10:14:33Z,DATAREDIS-388 - Upgrade to Jedis 2.7.
2015-03-23T13:04:26Z,DATAREDIS-385 - After release cleanups.
2015-03-23T13:04:16Z,DATAREDIS-385 - Prepare next development iteration.
2015-03-23T12:46:24Z,DATAREDIS-385 - Release version 1.5.0.RELEASE.
2015-03-23T11:44:56Z,DATAREDIS-385 - Prepare 1.5.0.RELEASE (Fowler GA).
2015-03-23T11:04:11Z,DATAREDIS-385 - Updated changelog.
2015-03-19T10:41:57Z,DATAREDIS-374 - Adapt JedisConnectionFactory for changes in Jedis 2.7.
2015-03-18T12:28:19Z,DATAREDIS-384 - Remove Java6 build for Travis-CI.
2015-03-18T12:10:10Z,DATAREDIS-383 - Improve JavaDoc of RedisCacheManager.
2015-03-16T12:43:35Z,DATAREDIS-379 - Update reference documentation.
2015-03-11T14:02:34Z,DATAREDIS-380 - Use Redis 2.8.19 for tests.
2015-03-11T13:03:59Z,DATAREDIS-377 - After release cleanups.
2015-03-11T13:03:52Z,DATAREDIS-377 -  Prepare next development iteration.
2015-03-05T16:18:03Z,DATAREDIS-377 - Release version 1.5.0.RC1.
2015-03-05T15:33:27Z,DATAREDIS-377 - Prepare 1.5.0.RC1 (Fowler RC1).
2015-03-05T14:54:40Z,DATAREDIS-377 - Updated changelog.
2015-03-04T16:28:32Z,DATAREDIS-375 - Avoid repeatedly decorating a cache.
2015-02-16T14:16:09Z,DATAREDIS-372 - Allow easier RedisSentinelConfiguration setup.
2015-02-05T09:12:47Z,DATAREDIS-371 - Upgrade Spring to 4.0.9.RELEASE.
2015-02-05T07:32:50Z,DATAREDIS-369 - Avoid resource leak in RedisCache.
2015-02-05T07:32:36Z,DATAREDIS-369 - Avoid resource leak in RedisCache.
2015-02-02T13:54:05Z,DATAREDIS-328 - RedisCacheManager should not instantiate caches in setCacheNames().
2015-01-28T19:54:43Z,DATAREDIS-366 - Updated changelog.
2015-01-28T09:15:17Z,DATAREDIS-365 - Updated changelog.
2015-01-19T13:04:00Z,DATAREDIS-364 - Open-up API in RedisCacheManager for easier extensibility.
2015-01-08T11:26:23Z,DATAREDIS-363 - Upgrade to jedis 2.6.2.
2014-12-03T07:19:30Z,DATAREDIS-361 - Read html resources for docs zip from asciidoctor output dir.
2014-12-01T12:37:35Z,DATAREDIS-360 - After release cleanups.
2014-12-01T12:14:16Z,DATAREDIS-360 - Prepare next development iteration.
2014-12-01T12:14:09Z,DATAREDIS-360 - Release version 1.5.0.M1 (Fowler M1).
2014-12-01T10:33:27Z,DATAREDIS-360 - Prepare 1.5.0.M1 (Fowler M1).
2014-12-01T10:33:23Z,DATAREDIS-360 - Updated changelog.
2014-11-28T11:21:53Z,DATAREDIS-353 - Updated changelog.
2014-11-28T09:10:01Z,DATAREDIS-356 - Check NonTransientDataAccessException for NOSCRIPT error.
2014-11-28T09:10:01Z,DATAREDIS-359 -  Fix redis javadoc generation.
2014-11-27T22:11:44Z,DATAREDIS-359 -  Fix redis javadoc generation.
2014-11-27T21:03:24Z,DATAREDIS-358 - Precise version resolution within RedisTestProfileValueSource.
2014-11-27T13:26:12Z,DATAREDIS-354 - Made JavaType lookup configurable for Jackson RedisSerializers.
2014-11-26T14:59:11Z,DATAREDIS-308 - Add support for HyperLogLog.
2014-11-19T08:37:41Z,DATAREDIS-355 - Upgrade to jedis 2.6.1.
2014-11-17T12:13:08Z,DATAREDIS-288 - Polishing.
2014-11-17T12:03:13Z,DATAREDIS-288 - Improved support for collection parameters in ListOperations.
2014-10-29T10:53:03Z,DATAREDIS-106 - Support for open interval for scores for sorted sets.
2014-10-24T17:24:56Z,DATAREDIS-347 - Fix unintended duplicate script execution.
2014-10-23T06:44:00Z,DATAREDIS-351 - Update build to latest redis version.
2014-10-09T14:13:27Z,DATAREDIS-334 - Add binary alternative for RedisScriptingCommands.evalSha.
2014-09-30T08:28:53Z,DATAREDIS-197 - Expose bit-related ops via ValueOperations.
2014-09-29T14:51:52Z,DATAREDIS-350 - Upgrade to Jedis 2.6.0.
2014-09-05T12:39:23Z,DATAREDIS-345 - After release cleanups.
2014-09-05T10:24:23Z,DATAREDIS-345 - Prepare next development iteration.
2014-09-05T10:24:14Z,DATAREDIS-345 - Release version 1.4.0.RELEASE (Evans GA).
2014-09-05T09:35:34Z,DATAREDIS-345 - Prepare 1.4.0.RELEASE (Evans GA).
2014-09-05T07:23:50Z,DATAREDIS-345 - Updated changelog.
2014-09-05T06:16:46Z,DATAREDIS-339 - Updated changelog.
2014-09-04T13:04:08Z,DATAREDIS-346 - Update Spring Version to 4.0.7.
2014-09-04T13:02:19Z,DATAREDIS-344 - Assert RedisCache works with Spring 4.1.
2014-09-04T12:02:36Z,DATAREDIS-340 - Polish performance improvement of zAdd using jedis.
2014-09-04T12:00:21Z,DATAREDIS-340 - Improve performance of zAdd elements when using jedis.
2014-09-04T06:44:47Z,DATAREDIS-336 - Polished Asciidoctor setup.
2014-09-04T06:44:47Z,DATAREDIS-336 - Use Spring Data Build CSS and fix resources zip content.
2014-09-04T06:44:47Z,DATAREDIS-336 - Improvements to reference documentation build.
2014-09-04T06:44:47Z,DATAREDIS-336 - Copy styles to output dir.
2014-09-04T06:44:47Z,DATAREDIS-336 - Fine tune build process and formatting.
2014-09-04T06:44:47Z,DATAREDIS-336 - Move to Asciidoctor for reference documentation.
2014-09-04T06:44:47Z,DATAREDIS-336 - Removed old docbook reference documentation.
2014-08-13T14:29:32Z,DATAREDIS-338 - After release cleanups.
2014-08-13T14:26:45Z,DATAREDIS-338 - Prepare next development iteration.
2014-08-13T14:26:41Z,DATAREDIS-338 - Release version 1.4.0.RC1 (Evans RC1)
2014-08-13T13:05:22Z,DATAREDIS-338 - Prepare 1.4.0.RC1 (Evans RC1).
2014-08-13T13:05:17Z,DATAREDIS-338 - Updated changelog.
2014-08-13T09:04:24Z,DATAREDIS-331 - Updated changelog.
2014-08-13T06:53:49Z,DATAREDIS-337 - Improve handling of overridden methods in MessageListenerAdapter.
