date,summary
2016-10-10T16:25:31Z,ModelAndView's setStatus does not work for @ExceptionHandler methods
2016-10-10T15:30:56Z,Possible bug about close resources when exists many ActiveProfilesResolver
2016-10-10T15:20:30Z,Fix HttpRequest#getURI() with Netty based engines
2016-10-10T12:13:14Z,Access-Control-Allow-Methods contains duplicate HTTP methods
2016-10-09T22:22:35Z,Spring MVC Test & AOP & Rest: Around advice is not executed how is expected for rest controller (just for invalid data)
2016-10-07T12:45:15Z,wrong scheduling targets on using cron pattern */n
2016-10-06T13:58:12Z,java.io.IOException: Stream is closed (HttpOutputStreamImpl)
2016-10-06T07:13:28Z,@CacheConfig(cacheNames) broken when used on interface
2016-10-05T15:57:30Z,SpringValidatorAdapter's ResolvableAttribute is not serializable
2016-10-04T08:29:55Z,Application destination prefix filter out SubscribeMapping
2016-10-03T08:12:49Z,Reactive controller event stream crashes after 30 seconds
2016-10-01T21:10:31Z,CssLinkResourceTransformer should not transform gzipped CSS files
2016-10-01T06:19:16Z,Flux<ServerSentEvent> looses messages when using a Processor from another Thread
2016-09-29T20:36:38Z,Spring @RequestMapping javadoc wrong (String)
2016-09-29T17:19:36Z,Spring @PostConstruct init/sequence weirdness
2016-09-29T09:28:04Z,ETag header is removed from PUT/POST/PATCH responses
2016-09-29T08:32:54Z,SingleConnectionFactory only works with JMS 2.0
2016-09-28T21:34:36Z,MessageHeaders doesn't use serialization properly
2016-09-28T21:07:33Z,AntPathMatcher.isPattern returns false if pattern contains variable
2016-09-28T19:01:24Z,Content negotiation conflict with Data REST Repository
2016-09-28T09:46:12Z,IPv6 + Origin header + X-Forwarded-Host header gives NumberFormatException (Safari10 / CORS)
2016-09-28T01:49:56Z,Spring MVC Flash attributes not working with reverse proxy
2016-09-27T21:38:41Z,SpEL varargs string arguments containing commas
2016-09-27T10:54:02Z,Spring Websocket is leaking ThreadPoolExecutor queue tasks 
2016-09-26T10:02:16Z,DefaultPersistenceUnitManager may configure a persistence unit root URL that does not point to a file or directory
2016-09-26T06:53:21Z,Error while serializing ServerSentEvent
2016-09-24T09:02:09Z,"Access to generic list throws java.lang.IndexOutOfBoundsException: Index: 0, Size: 0"
2016-09-22T22:05:31Z,@ComponentScan ignores @Order on @Configuration classes
2016-09-21T16:38:02Z,Not implemented EQUALS methods cause OOM while using AOP
2016-09-19T22:51:36Z,Exception during initialisaton of resource handling at WebReactiveConfiguration
2016-09-19T14:34:59Z,websocket - subscribers not notified
2016-09-19T09:11:02Z,cve-2016-5007
2016-09-16T22:40:33Z,java.lang.NoClassDefFoundError: org/springframework/core/enums/LabeledEnum
2016-09-15T16:53:52Z,exception during websocket client close
2016-09-15T13:33:51Z,Possible Bug: MappingJackson2XmlHttpMessageConverter does not share same ObjectMapper than MappingJackson2HttpMessageConverter
2016-09-15T10:55:06Z,Refreshable Groovy scripts failing on refresh
2016-09-15T10:53:03Z,StringUtils.parseLocaleString(): does not parse locale string in java 7 for Serbian (Latin)
2016-09-14T22:33:56Z,exception during websocket server shutdown
2016-09-14T10:40:51Z,Reactive path matching does not consider servlet context path
2016-09-13T14:51:24Z,Deadlock sending SSE events
2016-09-13T12:54:22Z,one beanfactory can not have more than one TransactionManager  when low memory
2016-09-13T06:48:04Z,Springmvc+mybatis project use @transaction not roll back with Spring JavaConfig
2016-09-13T01:09:40Z,NPE during websocket disconnect
2016-09-12T20:04:44Z,Classloader leak with cglib proxies and spring-retry
2016-09-12T19:23:07Z,Mockito fails to verify the second time on the proxied bean
2016-09-12T14:26:40Z,Failed to start bean 'webSocketHandlerMapping'; nested exception is java.lang.IllegalStateException: Unable to initialize Jetty WebSocketServerFactory with latest spring and jetty vesions
2016-09-12T14:03:15Z,Frequent messages via Websocket are sent unreliably
2016-09-08T19:48:30Z,HibernateExceptionTranslator translating to InvalidDataAccessApiUsageException when using vanilla Hibernate
2016-09-08T09:32:04Z,@PathVariable will cut off the last point
2016-09-07T17:02:28Z,Spring 4.3.2 HibernateTemplate#findByNamedQuery isn't compatible with Hibernate 5.0
2016-09-07T04:07:38Z,DispatcherServlet changes response locale when dispatching to DefaultServlet
2016-09-03T10:34:15Z,Performance regression when scheduling is enabled and context contains URL beans
2016-09-02T21:00:53Z,Handle ResponseEntity with null bodies
2016-09-02T10:51:48Z,TypeConverterSupport does not propagate custom exceptions anymore
2016-09-01T14:40:08Z,Broken FallbackObjectToStringConverter
2016-08-31T10:34:54Z,ResolvableType for a raw type is not assignable to generic types of the same class
2016-08-31T10:07:36Z,Number of Beans in a Config class breaks injection
2016-08-28T07:39:19Z,Unable to make ajax POST call for uploading file
2016-08-26T11:35:36Z,Third concurrent request hangs forever with HttpClient and maxConnPerRoute=2
2016-08-26T09:07:47Z,Potential AsyncConfigurer bug or mis-interpreted/missing documentation
2016-08-24T18:24:19Z,Fix assertions in StompHeaderAccessor
2016-08-24T15:06:25Z,@Profile  don't work. 
2016-08-24T13:52:10Z,Since 4.2.6 Spring MVC view resolution occasionally hangs under load
2016-08-24T07:27:00Z,Reactive controllers don't fully support returning org.reactivestreams.Publisher. It fails when calling s.onNext() multiple times.
2016-08-24T00:07:35Z,Static resource served with wrong Content-Type and ERR_CONTENT_LENGTH_MISMATCH  error
2016-08-23T15:51:17Z,Inconsistent handling of ResponseStatusExceptions
2016-08-23T10:28:22Z,Missing MessageMethodArgumentResolver default constructor
2016-08-19T19:50:10Z,Transaction manager cache fails to repopulate when multiple transaction managers defined
2016-08-19T12:54:11Z,Child spring app context refresh causes app micro downtime during which the app server responds with error 404
2016-08-19T10:16:47Z,OutOfMemoryError caused by nested UnsatisfiedDependencyExceptions
